Metodo,Ruta,OperationId,Tags,TieneSecurity,Security,Summary
POST,/clearing-house-cycle-configs/{id}/inactivate,,ClearingHouseCycleConfigs,No,None,Registro de ciclos y lotes ACH: registra una solicitud de inactivate dentro de ciclos y lotes ACH para la ruta /clearing-house-cycle-configs/{id}/inactivate
GET,/clearing-houses,,ClearingHouses,No,None,Consulta de clearing houses: consulta get dentro de clearing houses para la ruta /clearing-houses
GET,/clearing-houses/{id},,ClearingHouses,No,None,Consulta de clearing houses: consulta get by id dentro de clearing houses para la ruta /clearing-houses/{id}
GET,/clearing-houses/{id}/cycles,,ClearingHouses,No,None,Consulta de ciclos y lotes ACH: consulta get cycles for clearing house dentro de ciclos y lotes ACH para la ruta /clearing-houses/{id}/cycles
GET,/clearing-house-special-dates,,ClearingHouseSpecialDates,No,None,Consulta de clearing house special dates: consulta get all dentro de clearing house special dates para la ruta /clearing-house-special-dates
POST,/clearing-house-special-dates,,ClearingHouseSpecialDates,No,None,Registro de clearing house special dates: registra una solicitud de create dentro de clearing house special dates para la ruta /clearing-house-special-dates
PUT,/clearing-house-special-dates/{id},,ClearingHouseSpecialDates,No,None,Actualización de clearing house special dates: actualiza información de update dentro de clearing house special dates para la ruta /clearing-house-special-dates/{id}
DELETE,/clearing-house-special-dates/{id},,ClearingHouseSpecialDates,No,None,Eliminación de clearing house special dates: elimina recursos asociados a delete dentro de clearing house special dates para la ruta /clearing-house-special-dates/{id}
GET,/company-entry-descriptions,,CompanyEntryDescriptions,No,None,Consulta de company entry descriptions: consulta get all dentro de company entry descriptions para la ruta /company-entry-descriptions
POST,/company-entry-descriptions,,CompanyEntryDescriptions,No,None,Registro de company entry descriptions: registra una solicitud de create dentro de company entry descriptions para la ruta /company-entry-descriptions
PUT,/company-entry-descriptions/{id},,CompanyEntryDescriptions,No,None,Actualización de company entry descriptions: actualiza información de update dentro de company entry descriptions para la ruta /company-entry-descriptions/{id}
DELETE,/company-entry-descriptions/{id},,CompanyEntryDescriptions,No,None,Eliminación de company entry descriptions: elimina recursos asociados a delete dentro de company entry descriptions para la ruta /company-entry-descriptions/{id}
GET,/customers,,Customers,No,None,Obtiene el listado de clientes registrados.
POST,/customers,,Customers,No,None,Registra un nuevo cliente.
GET,/customers/{id},,Customers,No,None,Obtiene el detalle de un cliente por identificador.
PUT,/customers/{id},,Customers,No,None,Actualiza la información de un cliente existente.
DELETE,/customers/{id},,Customers,No,None,Elimina un cliente por identificador.
GET,/api/customer-third-parties,,CustomerThirdParties,No,None,Consulta de customer third parties: consulta get dentro de customer third parties para la ruta /api/customer-third-parties
PATCH,/api/customer-third-parties/{id}/status,,CustomerThirdParties,No,None,Ajuste de customer third parties: aplica ajuste parcial de update status dentro de customer third parties para la ruta /api/customer-third-parties/{id}/status
GET,/nacha-security/certificates,,DigitalEnvelopeCertificates,No,None,Inventario de certificados de sobre digital
POST,/nacha-security/certificates,,DigitalEnvelopeCertificates,No,None,Cargar o actualizar certificado de sobre digital
DELETE,/nacha-security/certificates/{id},,DigitalEnvelopeCertificates,No,None,Eliminar certificado de sobre digital
GET,/financial-institutions,,FinancialInstitutions,No,None,Consulta de financial institutions: consulta get all dentro de financial institutions para la ruta /financial-institutions
POST,/financial-institutions,,FinancialInstitutions,No,None,Registro de financial institutions: registra una solicitud de create dentro de financial institutions para la ruta /financial-institutions
GET,/financial-institutions/{id},,FinancialInstitutions,No,None,Consulta de financial institutions: consulta get by id dentro de financial institutions para la ruta /financial-institutions/{id}
PUT,/financial-institutions/{id},,FinancialInstitutions,No,None,Actualización de financial institutions: actualiza información de update dentro de financial institutions para la ruta /financial-institutions/{id}
PATCH,/financial-institutions/{id}/status,,FinancialInstitutions,No,None,Ajuste de financial institutions: aplica ajuste parcial de set status dentro de financial institutions para la ruta /financial-institutions/{id}/status
GET,/incoming-nacha-command-center/observability/summary,,IncomingNachaCommandCenter,No,None,Panel consolidado de observabilidad de inbound NACHA-M
GET,/incoming-nacha-command-center/ingestions,,IncomingNachaCommandCenter,No,None,Consulta paginada de ingestas inbound NACHA-M
GET,/incoming-nacha-command-center/ingestions/{ingestionId},,IncomingNachaCommandCenter,No,None,Detalle técnico y operativo de una ingesta inbound
GET,/incoming-nacha-command-center/queue,,IncomingNachaCommandCenter,No,None,Vista operativa de dispatch queue inbound NACHA-M
GET,/incoming-nacha-command-center/queue/{queueId},,IncomingNachaCommandCenter,No,None,Detalle de item de dispatch queue con acciones permitidas
POST,/incoming-nacha-command-center/queue/{queueId}/retry,,IncomingNachaCommandCenter,No,None,Acción manual de retry sobre item de dispatch queue
POST,/incoming-nacha-command-center/queue/{queueId}/unblock,,IncomingNachaCommandCenter,No,None,Acción manual de unblock sobre item bloqueado
POST,/incoming-nacha-command-center/queue/{queueId}/requeue,,IncomingNachaCommandCenter,No,None,Acción manual de requeue para reproceso controlado
POST,/incoming-nacha-command-center/queue/{queueId}/mark-failed-final,,IncomingNachaCommandCenter,No,None,Acción manual mark-failed-final para cierre operativo
GET,/institution-clearing-house-preferences,,InstitutionClearingHousePreferences,No,None,Consulta de institution clearing house preferences: consulta get all dentro de institution clearing house preferences para la ruta /institution-clearing-house-preferences
POST,/institution-clearing-house-preferences,,InstitutionClearingHousePreferences,No,None,Registro de institution clearing house preferences: registra una solicitud de create dentro de institution clearing house preferences para la ruta /institution-clearing-house-preferences
PUT,/institution-clearing-house-preferences/{id},,InstitutionClearingHousePreferences,No,None,Actualización de institution clearing house preferences: actualiza información de update dentro de institution clearing house preferences para la ruta /institution-clearing-house-preferences/{id}
DELETE,/institution-clearing-house-preferences/{id},,InstitutionClearingHousePreferences,No,None,Eliminación de institution clearing house preferences: elimina recursos asociados a delete dentro de institution clearing house preferences para la ruta /institution-clearing-house-preferences/{id}
GET,/api/integrations/methods,,IntegrationCatalog,No,None,Consulta de integration catalog: consulta get methods dentro de integration catalog para la ruta /api/integrations/methods
GET,/api/integrations/methods/{methodId}/parameters,,IntegrationCatalog,No,None,Consulta de integration catalog: consulta get parameters by method dentro de integration catalog para la ruta /api/integrations/methods/{methodId}/parameters
GET,/api/integrations/source-catalog,,IntegrationCatalog,No,None,Consulta de integration catalog: consulta get source catalog dentro de integration catalog para la ruta /api/integrations/source-catalog
GET,/api/integrations/transformations,,IntegrationCatalog,No,None,Consulta de integration catalog: consulta get transformations dentro de integration catalog para la ruta /api/integrations/transformations
GET,/api/integrations/mappingsets,,IntegrationMappingSets,No,None,Consulta de integration mapping sets: consulta get dentro de integration mapping sets para la ruta /api/integrations/mappingsets
POST,/api/integrations/mappingsets,,IntegrationMappingSets,No,None,Registro de integration mapping sets: registra una solicitud de create dentro de integration mapping sets para la ruta /api/integrations/mappingsets
GET,/api/integrations/mappingsets/published,,IntegrationMappingSets,No,None,Consulta de integration mapping sets: consulta get published dentro de integration mapping sets para la ruta /api/integrations/mappingsets/published
GET,/api/integrations/mappingsets/{id},,IntegrationMappingSets,No,None,Consulta de integration mapping sets: consulta get by id dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}
PUT,/api/integrations/mappingsets/{id},,IntegrationMappingSets,No,None,Actualización de integration mapping sets: actualiza información de update dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}
PUT,/api/integrations/mappingsets/{id}/rules,,IntegrationMappingSets,No,None,Actualización de integration mapping sets: actualiza información de upsert rules dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}/rules
POST,/api/integrations/mappingsets/{id}/validate,,IntegrationMappingSets,No,None,Registro de integration mapping sets: registra una solicitud de validate dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}/validate
POST,/api/integrations/mappingsets/{id}/preview,,IntegrationMappingSets,No,None,Registro de integration mapping sets: registra una solicitud de preview dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}/preview
POST,/api/integrations/mappingsets/{id}/publish,,IntegrationMappingSets,No,None,Registro de integration mapping sets: registra una solicitud de publish dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}/publish
POST,/api/integrations/mappingsets/{id}/clone,,IntegrationMappingSets,No,None,Registro de integration mapping sets: registra una solicitud de clone dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}/clone
GET,/api/integrations/mappingsets/{id}/history,,IntegrationMappingSets,No,None,Consulta de integration mapping sets: consulta history dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}/history
POST,/api/integrations/mappingsets/compare,,IntegrationMappingSets,No,None,Registro de integration mapping sets: registra una solicitud de compare dentro de integration mapping sets para la ruta /api/integrations/mappingsets/compare
GET,/api/users/login-lockout,,LoginLockoutSettings,No,None,Consulta de login lockout settings: consulta get dentro de login lockout settings para la ruta /api/users/login-lockout
PUT,/api/users/login-lockout,,LoginLockoutSettings,No,None,Actualización de login lockout settings: actualiza información de save dentro de login lockout settings para la ruta /api/users/login-lockout
POST,/Maintenance/seed,,Maintenance,No,None,Registro de maintenance: registra una solicitud de run db initializer dentro de maintenance para la ruta /Maintenance/seed
GET,/navigation/menu-items,,MenuItems,No,None,Consulta de menu items: consulta get menu items dentro de menu items para la ruta /navigation/menu-items
POST,/navigation/menu-items,,MenuItems,No,None,Registro de menu items: registra una solicitud de create menu item dentro de menu items para la ruta /navigation/menu-items
PUT,/navigation/menu-items/{id},,MenuItems,No,None,Actualización de menu items: actualiza información de update menu item dentro de menu items para la ruta /navigation/menu-items/{id}
DELETE,/navigation/menu-items/{id},,MenuItems,No,None,Eliminación de menu items: elimina recursos asociados a delete menu item dentro de menu items para la ruta /navigation/menu-items/{id}
GET,/nacha-config/perfiles,,NachaConfigProfiles,No,None,Consulta de operación NACHA-M: consulta get profiles dentro de operación NACHA-M para la ruta /nacha-config/perfiles
POST,/nacha-config/perfiles,,NachaConfigProfiles,No,None,Registro de operación NACHA-M: registra una solicitud de create draft dentro de operación NACHA-M para la ruta /nacha-config/perfiles
GET,/nacha-config/catalogos-filtro,,NachaConfigProfiles,No,None,Consulta de operación NACHA-M: consulta get filter catalogs dentro de operación NACHA-M para la ruta /nacha-config/catalogos-filtro
GET,/nacha-config/perfiles/{id},,NachaConfigProfiles,No,None,Consulta de operación NACHA-M: consulta get profile dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}
PUT,/nacha-config/perfiles/{id},,NachaConfigProfiles,No,None,Actualización de operación NACHA-M: actualiza información de update draft dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}
POST,/nacha-config/perfiles/{id}/clonar,,NachaConfigProfiles,No,None,Registro de operación NACHA-M: registra una solicitud de clone dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/clonar
POST,/nacha-config/perfiles/{id}/validar,,NachaConfigProfiles,No,None,Registro de operación NACHA-M: registra una solicitud de validate dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/validar
POST,/nacha-config/perfiles/{id}/publicar,,NachaConfigProfiles,No,None,Registro de operación NACHA-M: registra una solicitud de publish dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/publicar
POST,/nacha-config/perfiles/{id}/inactivar,,NachaConfigProfiles,No,None,Registro de operación NACHA-M: registra una solicitud de inactivate dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/inactivar
POST,/nacha-config/perfiles/{id}/archivar,,NachaConfigProfiles,No,None,Registro de operación NACHA-M: registra una solicitud de archive dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/archivar
GET,/nacha-config/perfiles/{id}/historial,,NachaConfigProfiles,No,None,Consulta de operación NACHA-M: consulta history dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/historial
GET,/nacha-config/perfiles/{id}/snapshots,,NachaConfigProfiles,No,None,Consulta de operación NACHA-M: consulta snapshots dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/snapshots
PUT,/nacha-config/perfiles/{id}/records/secuencia,,NachaConfigProfiles,No,None,Actualización de operación NACHA-M: actualiza información de update sequence dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/records/secuencia
PUT,/nacha-config/perfiles/{id}/variantes/{variantId},,NachaConfigProfiles,No,None,Actualización de operación NACHA-M: actualiza información de update variant dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/variantes/{variantId}
PUT,/nacha-config/perfiles/{id}/fields/{fieldId},,NachaConfigProfiles,No,None,Actualización de operación NACHA-M: actualiza información de update field dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/fields/{fieldId}
PUT,/nacha-config/perfiles/{id}/rules/{ruleId},,NachaConfigProfiles,No,None,Actualización de operación NACHA-M: actualiza información de update rule dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/rules/{ruleId}
POST,/nacha-config/resolver-preview,,NachaConfigProfiles,No,None,Registro de operación NACHA-M: registra una solicitud de resolver preview dentro de operación NACHA-M para la ruta /nacha-config/resolver-preview
POST,/Nacha/header,,Nacha,No,None,Registro de operación NACHA-M: registra una solicitud de save header dentro de operación NACHA-M para la ruta /Nacha/header
GET,/NachaExport/{cycleId},,NachaExport,No,None,Exportar archivo NACHA de un ciclo
GET,/NachaExport/{cycleId}/sobre-digital,,NachaExport,No,None,Exportar NACHA con sobre digital
GET,/nacha-record-definitions,,NachaRecordDefinitions,No,None,Consulta de operación NACHA-M: consulta get all dentro de operación NACHA-M para la ruta /nacha-record-definitions
POST,/nacha-record-definitions,,NachaRecordDefinitions,No,None,Registro de operación NACHA-M: registra una solicitud de create dentro de operación NACHA-M para la ruta /nacha-record-definitions
GET,/nacha-record-definitions/{id},,NachaRecordDefinitions,No,None,Consulta de operación NACHA-M: consulta get by id dentro de operación NACHA-M para la ruta /nacha-record-definitions/{id}
PUT,/nacha-record-definitions/{id},,NachaRecordDefinitions,No,None,Actualización de operación NACHA-M: actualiza información de update dentro de operación NACHA-M para la ruta /nacha-record-definitions/{id}
DELETE,/nacha-record-definitions/{id},,NachaRecordDefinitions,No,None,Eliminación de operación NACHA-M: elimina recursos asociados a delete dentro de operación NACHA-M para la ruta /nacha-record-definitions/{id}
GET,/nacha-layouts,,NachaRecordLayouts,No,None,Consulta de operación NACHA-M: consulta get all dentro de operación NACHA-M para la ruta /nacha-layouts
POST,/nacha-layouts,,NachaRecordLayouts,No,None,Registro de operación NACHA-M: registra una solicitud de create dentro de operación NACHA-M para la ruta /nacha-layouts
GET,/nacha-layouts/{id},,NachaRecordLayouts,No,None,Consulta de operación NACHA-M: consulta get by id dentro de operación NACHA-M para la ruta /nacha-layouts/{id}
PUT,/nacha-layouts/{id},,NachaRecordLayouts,No,None,Actualización de operación NACHA-M: actualiza información de update dentro de operación NACHA-M para la ruta /nacha-layouts/{id}
DELETE,/nacha-layouts/{id},,NachaRecordLayouts,No,None,Eliminación de operación NACHA-M: elimina recursos asociados a delete dentro de operación NACHA-M para la ruta /nacha-layouts/{id}
POST,/nacha-security/operations/nacha/generate,,NachaSecurityOperations,No,None,Generación de archivo NACHA plano
POST,/nacha-security/operations/nacha/generate-encrypted,,NachaSecurityOperations,No,None,Generación de NACHA cifrado
POST,/nacha-security/operations/envelope/manual-encrypt,,NachaSecurityOperations,No,None,Cifrado manual de archivo
POST,/nacha-security/operations/envelope/manual-decrypt,,NachaSecurityOperations,No,None,Descifrado manual de sobre digital
GET,/nacha-security/operations/{operationId},,NachaSecurityOperations,No,None,Consulta de operación de seguridad
GET,/nacha-security/operations/audit,,NachaSecurityOperations,No,None,Bitácora de auditoría de seguridad NACHA
POST,/nacha-security/operations/{operationId}/authorize-download,,NachaSecurityOperations,No,None,Autorizar descarga de artefacto
GET,/nacha-security/operations/{operationId}/download,,NachaSecurityOperations,No,None,Descarga de artefacto autorizado
POST,/NachaUpload/upload,,NachaUpload,No,None,Registro de operación NACHA-M: registra una solicitud de upload nacha file dentro de operación NACHA-M para la ruta /NachaUpload/upload
GET,/NachaUpload/records,,NachaUpload,No,None,Consulta de operación NACHA-M: consulta get uploaded records dentro de operación NACHA-M para la ruta /NachaUpload/records
GET,/navigation/menu,,Navigation,No,None,Consulta de navigation: consulta get menu dentro de navigation para la ruta /navigation/menu
GET,/api/navigation-logs,,NavigationLogs,No,None,Consulta de navigation logs: consulta get navigation logs dentro de navigation logs para la ruta /api/navigation-logs
POST,/api/navigation-logs,,NavigationLogs,No,None,Registro de navigation logs: registra una solicitud de add navigation log dentro de navigation logs para la ruta /api/navigation-logs
POST,/Oauths/GenerateToken,,Oauths,No,None,Registro de seguridad bancaria: registra una solicitud de generate token dentro de seguridad bancaria para la ruta /Oauths/GenerateToken
POST,/Oauths/GenerateTokenAsync,,Oauths,No,None,Registro de seguridad bancaria: registra una solicitud de generate token dentro de seguridad bancaria para la ruta /Oauths/GenerateTokenAsync
GET,/api/users/password-rules,,PasswordRules,No,None,Consulta de password rules: consulta get rules dentro de password rules para la ruta /api/users/password-rules
PUT,/api/users/password-rules,,PasswordRules,No,None,Actualización de password rules: actualiza información de save rules dentro de password rules para la ruta /api/users/password-rules
GET,/api/payment-rails/capability-registry/rails,,PaymentRailCapabilityRegistry,No,None,Inventario operativo de rieles en Capability Registry
GET,/api/payment-rails/capability-registry/rails/{railCode}/capabilities,,PaymentRailCapabilityRegistry,No,None,Matriz efectiva de capacidades por riel y fecha operativa
GET,/api/payment-rails/capability-registry/rails/{railCode}/capabilities/{capabilityCode},,PaymentRailCapabilityRegistry,No,None,Estado efectivo de una capacidad específica por riel
GET,/api/Permissions,,Permissions,No,None,Consulta de permissions: consulta get permissions dentro de permissions para la ruta /api/Permissions
GET,/api/regulatory-catalogs/return-codes,,RegulatoryCatalogs,No,None,Consulta de regulatory catalogs: consulta get return codes dentro de regulatory catalogs para la ruta /api/regulatory-catalogs/return-codes
GET,/api/regulatory-catalogs/file-rejection-codes,,RegulatoryCatalogs,No,None,Consulta de regulatory catalogs: consulta get file rejection codes dentro de regulatory catalogs para la ruta /api/regulatory-catalogs/file-rejection-codes
GET,/api/regulatory-catalogs/transaction-type-policies,,RegulatoryCatalogs,No,None,Consulta de regulatory catalogs: consulta get transaction type policies dentro de regulatory catalogs para la ruta /api/regulatory-catalogs/transaction-type-policies
GET,/api/regulatory-catalogs/return-policies,,RegulatoryCatalogs,No,None,Consulta de regulatory catalogs: consulta get return policies dentro de regulatory catalogs para la ruta /api/regulatory-catalogs/return-policies
GET,/api/regulatory-catalogs/return-of-return-policies,,RegulatoryCatalogs,No,None,Consulta de regulatory catalogs: consulta get return of return policies dentro de regulatory catalogs para la ruta /api/regulatory-catalogs/return-of-return-policies
GET,/api/regulatory-catalogs/prenotification-policies,,RegulatoryCatalogs,No,None,Consulta de regulatory catalogs: consulta get prenotification policies dentro de regulatory catalogs para la ruta /api/regulatory-catalogs/prenotification-policies
GET,/api/reports/transactions/sent,,Reports,No,None,Reporte de transacciones enviadas
GET,/api/reports/transactions/received,,Reports,No,None,Reporte de transacciones recibidas
GET,/api/reports/transactions/sent/pdf,,Reports,No,None,PDF de transacciones enviadas
GET,/api/reports/transactions/received/pdf,,Reports,No,None,PDF de transacciones recibidas
GET,/api/reports/returns,,Reports,No,None,Reporte de devoluciones
GET,/api/reports/rejections,,Reports,No,None,Reporte de rechazos de archivo
GET,/api/reports/returns/pdf,,Reports,No,None,Consulta de reportería ACH: consulta get returns pdf dentro de reportería ACH para la ruta /api/reports/returns/pdf
GET,/api/reports/rejections/pdf,,Reports,No,None,Consulta de reportería ACH: consulta get rejections pdf dentro de reportería ACH para la ruta /api/reports/rejections/pdf
GET,/api/reports/nacha-files,,Reports,No,None,Reporte de archivos NACHA
GET,/api/reports/nacha-files/pdf,,Reports,No,None,PDF de archivos NACHA
GET,/api/reports/cycles,,Reports,No,None,Reporte de ciclos ACH
GET,/api/reports/cycles/pdf,,Reports,No,None,Consulta de reportería ACH: consulta get cycles pdf dentro de reportería ACH para la ruta /api/reports/cycles/pdf
GET,/api/reports/reconciliation,,Reports,No,None,Reporte de conciliación
GET,/api/reports/reconciliation/pdf,,Reports,No,None,Consulta de reportería ACH: consulta get reconciliation pdf dentro de reportería ACH para la ruta /api/reports/reconciliation/pdf
GET,/api/reports/audit,,Reports,No,None,Reporte de auditoría ACH
GET,/api/reports/audit/pdf,,Reports,No,None,Consulta de reportería ACH: consulta get audit pdf dentro de reportería ACH para la ruta /api/reports/audit/pdf
GET,/api/reports/history,,Reports,No,None,Histórico de transacciones ACH
GET,/api/reports/history/pdf,,Reports,No,None,Consulta de reportería ACH: consulta get history pdf dentro de reportería ACH para la ruta /api/reports/history/pdf
GET,/api/reports/traceability/pdf,,Reports,No,None,PDF de trazabilidad ACH
GET,/return-reasons,,ReturnReasons,No,None,Consulta de return reasons: consulta get all dentro de return reasons para la ruta /return-reasons
GET,/api/Roles,,Roles,No,None,Consulta de roles: consulta get roles dentro de roles para la ruta /api/Roles
GET,/api/users/soap-integrations,,SoapIntegrationSettings,No,None,Consulta de soap integration settings: consulta get dentro de soap integration settings para la ruta /api/users/soap-integrations
PUT,/api/users/soap-integrations,,SoapIntegrationSettings,No,None,Actualización de soap integration settings: actualiza información de save dentro de soap integration settings para la ruta /api/users/soap-integrations
POST,/SobreDigital/encrypt,,SobreDigital,No,None,Registro de sobre digital: registra una solicitud de encrypt dentro de sobre digital para la ruta /SobreDigital/encrypt
POST,/SobreDigital/decrypt,,SobreDigital,No,None,Registro de sobre digital: registra una solicitud de decrypt dentro de sobre digital para la ruta /SobreDigital/decrypt
POST,/SobreDigital/testRSA,,SobreDigital,No,None,Registro de sobre digital: registra una solicitud de test r s a dentro de sobre digital para la ruta /SobreDigital/testRSA
GET,/TaskDefinitions,,TaskDefinitions,No,None,Consulta de task definitions: consulta get dentro de task definitions para la ruta /TaskDefinitions
